HS_CODE2,HS_code,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),,General_Tariff_Rate
,,,,"MV,HK,MO",,,
,,,2.4,PK,,,
,,,5.4,KR,,,
,,,6,RS,,,
,,,8,NI,,,
,,,8.8,EC,,,
,,,9.6,"RAS R , AU R , NZ",,,
"""8501.6300""","8501.6300 375, 10",10,0,"AS,CL,NZ,SG,PE,",0,LD,30
"""750""",750,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO",,,
,,,2.4,PK,,,
,,,5.4,KR,,,
,,,6,RS,,,
,,,8,NI,,,
,,,9,EC,,,
,,,9.6,"AS R , AU R , NZ",,,
"""1/31/1900""",1/31/1900  60000 AM,,,,,,
"""8501.6410""","8501.6410 -750, 10",10,0,"AS,CL,PK,NZ,SG,",0,LD,30
"""350""",350,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,MV,HK,MO",,,
,,,4.5,KR,,,
,,,8,"AS R , AU , NZ ,NI",,,
,,,8.1,JP,,,
,,,8.8,EC,,,
""",750""",",750",,,,,,
"""<≤350""",<≤350,,,,,,
"""8501.6420""","8501.6420 -350, 5.5",5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
"""665""",665,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , JP , KR ,KH,NI,EC,",,,
,,,,"RS,MV,HK,MO",,,
,,,3.5,"AU R , NZ",,,
,,,3.6,AP,,,
""",350""",",350",,,,,,
"""<≤665""",<≤665,,,,,,
"""8501.6430""",8501.6430 -665 6,6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,3.6,"AS , AU R , KR R , NZ",,,
,,,3.9,AP,,,
,,,4.5,JP,,,
,",",,,,,,
""">665""",>665,,,,,,
"""8501.7100""",8501.7100 50 12,12,0,"AS,CL,NZ,SG,PE,",0,LD,35
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO,TW",,,
,,,4.8,PK,,,
,,,5,"AS R , AU , NZ",,,
,,,6,"JP , KR",,,
,,,7.8,"AP,KR",,,
,,,9.6,RS,,,
,,,10.4,NI,,,
,,,10.6,EC,,,
"""1/2/1900""",1/2/1900  20000 AM,,,,,,
"""8501.7210""","8501.7210 -50, 12",12,0,"AS,CL,NZ,SG,PE,",0,LD,35
"""750""",750,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO,TW",,,
,,,4.8,PK,,,
,,,5,"AS R , AU R , NZ",,,
,,,6,"JP R , KR",,,
,,,7.8,"AP,KR",,,
,,,9.6,RS,,,
,,,10.4,NI,,,
,,,10.6,EC,,,
"""8501.7220""","8501.7220 -750, 10",10,0,"AS,CL,PK,NZ,SG,",0,LD,35
"""75""",75,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"RMU, AS ,RAU ,RNZ ,KH,",,,
,,,,"MV,HK,MO",,,
,,,6,KR,,,
,,,6.4,RJP,,,
,,,8,"NI,RS",,,
,,,8.8,EC,,,
"""8501.7230""","8501.7230 -75, 5",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
"""375""",375,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8501.7240""",8501.7240 -375 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,35
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO",,,
,,,2.4,PK,,,
,,,5.4,KR,,,
,,,8,"NI,RS",,,
,,,8.8,EC,,,
,,,9.6,"AS R , AU R , NZ",,,
"""8501.8010""",8501.8010 -75 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3,KR,,,
,,,3.2,JP,,,
"""8501.8020""","8501.8020 -75, 10",10,0,"AS,CL,NZ,SG,PE,",0,LD,30
"""375""",375,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO",,,
,,,2.4,PK,,,
,,,5.4,KR,,,
,,,8,"NI,RS",,,
,,,8.8,EC,,,
,,,9.6,"AS R , AU R , NZ",,,
"""8501.8030""","8501.8030 -375, 10",10,0,"AS,CL,NZ,SG,PE,",0,LD,30
"""750""",750,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO",,,
,,,2.4,PK,,,
,,,5.4,KR,,,
,,,8,"NI,RS",,,
,,,9,EC,,,
,,,9.6,"AS R , AU R , NZ",,,
"""-750""",-750,,,,,,
"""8501.8041""","8501.8041 750, 10",10,0,"AS,CL,PK,NZ,SG,",0,LD,30
"""350""",350,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,MV,HK,MO",,,
,,,4.5,KR,,,
,,,8,"AS R , AU ,RNZ ,NI,RS",,,
,,,8.1,JP,,,
,,,8.8,EC,,,
"""8501.8042""","8501.8042 350, 5.5",5.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
"""665""",665,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , JP , KR ,KH,NI,EC,",,,
,,,,"RS,MV,HK,MO",,,
,,,3.5,"AU R , NZ",,,
,,,3.6,AP,,,
"""8501.8043""",8501.8043 665 6,6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,3.6,"AS R , AU R , KR ,RNZ",,,
,,,3.9,AP,,,
,,,4.5,JP,,,
"""85.02""",85.02,85.02,,,,,
"""-(""",-(,,,,,,
"""8502.1100""",8502.1100 75 10,10,0,"AS,CL,PK,NZ,SG,",0,LD,45
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"RMU, AS ,RAU ,RNZ ,KH,",,,
,,,,"MV,HK,MO",,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""8502.1200""","8502.1200 75, 10",10,0,"AS,CL,PK,NZ,SG,",0,LD,45
"""375""",375,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,MV,HK,MO",,,
,,,2.6,KR,,,
,,,6,RS,,,
,,,7.3,"AS ,RKR",,,
,,,7.5,JP,,,
,,,8,"AU , NZ ,NI",,,
,,,8.8,EC,,,
"""1/15/1900""",1/15/1900  30000 PM,,,,,,
"""8502.1310""","8502.1310 -375, 10",10,0,"AS,CL,PK,NZ,SG,",0,LD,45
"""2""",2,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,MV,HK,MO",,,
,,,4.5,KR,,,
,,,6,RS,,,
,,,6.5,AP,,,
,,,8,"AS R , AU R , KR R , NZ ,",,,
,,,NI,,,,
,,,8.1,JP,,,
,,,8.8,EC,,,
"""8502.1320""",8502.1320 -2 10,10,0,"AS,CL,PK,NZ,SG,",0,LD,30
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,MV,HK,MO",,,
,,,4.5,KR,,,
,,,6,RS,,,
,,,7,AP,,,
,,,8,"AS R , AU R , KR R , NZ ,",,,
,,,NI,,,,
,,,8.1,JP,,,
,,,8.8,EC,,,
"""8502.2000""",8502.2000 - 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,45
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,2,PK,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""(≥""",(≥,,,,,,
"""1000,≥40%)""","1000,≥40%)",,,,,,
"""8502.3100""",8502.3100  8?5,8?5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH, RIS,AU,GE,MU, AS ,",,,
,,,,"RAU , NZ ,KH,RS,MV,HK,",,,
,,,,MO,,,
,,,2.1,KR,,,
,,,4.8,"KR ,NI",,,
,,,5.1,RJP,,,
,,,7.1,EC,,,
"""8502.3900""",8502.3900  10,10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,AU,GE,MU,KH,MV,",,,
,,,,"HK,MO",,,
,,,2.6,KR,,,
,,,6,RS,,,
,,,7.3,"AS , KR",,,
,,,7.5,JP,,,
,,,8,"RAU ,RNZ ,NI",,,
,,,8.8,EC,,,
"""/)""",/),,,,,,
"""8502.4000""",8502.4000 - 10,10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""85.03""",85.03 85.01,85.01,,,,,
"""85.02""",85.02,85.02,,,,,
"""8503.0010""",8503.0010 -8501.10108501.1091 8,8,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"EC,MV,HK,MO,TW",,,
,,,2.4,PK,,,
,,,4.8,NI,,,
,,,5,"AS R , AU , NZ",,,
,,,5.2,AP,,,
,,,7.8,KR,,,
"""8503.0020""",8503.0020 -8501.64208501.6430 3,3,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,1.8,"AS R , AU R , KR ,RNZ",,,
,,,1.9,RJP,,,
,,,2,AP,,,
"""8503.0030""",8503.0030 -8502.3100 3?1,3?1,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,MV,HK,MO",,,
,,,2.5,AP,,,
"""8503.0090""",8503.0090 - 8,8,0,"AS,CL,NZ,PE,CR,CH,",0,LD,30
,,,,"RKR,  AU,GE,MU, AS ,",,,
,,,,"RAU , KR R , NZ ,KH,EC,",,,
,,,,"MV,HK,MO",,,
,,,2,PK,,,
,,,4.8,"NI,RS",,,
,,,5.2,AP,,,
,,,6,JP,,,
"""750""",750,,,,,,
"""/""",/,,,,,,
""")""",),,,,,,
""")""",),,,,,,
"""85.04,""","85.04,",,,,,,
"""8504.1010""",8504.1010 - 10,10,0,"AS,CL,PK,NZ,SG,",0,LD,35
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"MU,KH,MV,HK,MO",,,
,,,6,"AS R , AU R , KR , NZ ,",,,
,,,RS,,,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""8504.1090""",8504.1090 - 10,10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""8504.2100""",8504.2100 650 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,2,PK,,,
,,,6,RS,,,
,,,6.3,KR,,,
,,,6.7,JP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""8504.2200""","8504.2200 650, 10",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
"""10""",10,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,2.5,PK,,,
,,,6,RS,,,
,,,7.6,RKR,,,
,,,8,"JP ,NI",,,
,,,8.8,EC,,,
"""100000""",100000 AM,,,,,,
"""-10,""","-10,",,,,,,
"""16.66666667""",16.66666667,16.66666667,,,,,
"""8504.2311""","8504.2311 10, 10",10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
"""220""",220,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,2.6,KR,,,
,,,6,RS,,,
,,,6.5,AP,,,
,,,7.3,"AS R , KR",,,
,,,7.5,JP,,,
,,,8,"AU ,RNZ ,NI",,,
,,,8.8,EC,,,
"""8504.2312""",8504.2312 220 10,10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
""",330""",",330",,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,EC,",,,
,,,,"MV,HK,MO",,,
,,,6,"KR ,RS",,,
,,,6.4,RJP,,,
,,,6.5,AP,,,
,,,8,NI,,,
"""8504.2313""",8504.2313 330 10,10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
""",400""",",400",,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO",,,
,,,6,RS,,,
,,,6.5,AP,,,
,,,8,"AS R , AU R , KR R , NZ ,",,,
,,,NI,,,,
,,,9,EC,,,
"""-400""",-400,,,,,,
"""8504.2321""",8504.2321 400 6,6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
""",500""",",500",,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP ,RKR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
,,,3.9,AP,,,
"""8504.2329""",8504.2329  6,6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
,,,3.9,AP,,,
"""10000""",10000 AM,,,,,,
"""8504.3110""",8504.3110 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,"MO,TW",,,
,,,3.3,AP,,,
"""8504.3190""",8504.3190 - 5,5,0,"AS,CL,PK,NZ,SG,",0,LD,50
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"RMU, AS R , AU ,RJP , KR ,",,,
,,,,"RNZ ,KH,NI,EC,RS,MV,",,,
,,,,"HK,MO,TW",,,
,,,3.3,AP,,,
"""1,""","1,",,,,,,
"""0.666666667""",0.666666667,0.666666667,,,,,
"""8504.3210""",8504.3210 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,1.3,KR,,,
,,,3,"AS R , AU R , KR R , NZ",,,
,,,3.8,JP,,,
"""8504.3290""",8504.3290 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""16,""","16,",,,,,,
"""20.83333333""",20.83333333,20.83333333,,,,,
"""8504.3310""",8504.3310 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,1.3,KR,,,
,,,3,"AS , AU ,RKR ,RNZ",,,
,,,3.8,JP,,,
"""8504.3390""",8504.3390 - 5,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,1.3,KR,,,
,,,3,"RAS , AU R , KR R , NZ",,,
,,,3.8,JP,,,
"""1/20/1900""",1/20/1900  80000 PM,,,,,,
"""8504.3410""",8504.3410 - 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO",,,
,,,3.7,KR,,,
,,,8,"NI,EC,RS",,,
,,,10.3,"AS R , KR",,,
,,,10.5,JP,,,
,,,11.2,"PK, AU R , NZ",,,
"""8504.3490""",8504.3490 - 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"EC,MV,HK,MO",,,
,,,3.7,KR,,,
,,,4.5,PK,,,
,,,6,RS,,,
,,,8,NI,,,
,,,10.3,"AS R , KR",,,
,,,10.5,JP,,,
,,,11.2,"AU ,RNZ",,,
"""8504.4013""",8504.4013 84.71 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8504.4014""","8504.4014 , 0",0,0,"AP,AS,CL,PK,NZ,",0,LD,80
"""1,""","1,",,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,,"EC,RS,HK,MO",,,
,,,1.8,KR,,,
,,,4.2,KR,,,
,,,4.5,JP,,,
"""8504.4015""","8504.4015 , 0",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,80
"""10,""","10,",,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8504.4019""",8504.4019  0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8504.4020""",8504.4020 - 0,0,0,"AP,AS,CL,NZ,SG,",0,LD,50
,,,,"PE,CR,IS,AU,GE,MU,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,2,PK,,,
,,,2.6,KR,,,
,,,6,"RAS ,RAU ,RKR ,RNZ",,,
,,,6.4,JP,,,
"""8504.4030""",8504.4030 - 0,0,0,"AS,CL,NZ,SG,PE,",0,LD,30
,,,,"CR,CH,IS,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,2,PK,,,
,,,2.6,KR,,,
,,,6,RKR,,,
,,,6.4,JP,,,
"""8504.4091""",8504.4091  0,0,0,"AS,CL,NZ,SG,PE,",0,LD,30
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , KR ,RNZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,2,PK,,,
,,,6.4,JP,,,
"""8504.4099""",8504.4099  0,0,0,"AS,CL,NZ,SG,PE,",0,LD,30
,,,,"RCR,  CH,  IS,  AU,GE, AS ,",,,
,,,,"RAU ,RNZ ,KH,NI,EC,RS,",,,
,,,,"MV,HK,MO",,,
,,,2,PK,,,
,,,2.4,MU,,,
,,,2.6,KR,,,
,,,6,KR,,,
,,,6.4,JP,,,
"""8504.5000""",8504.5000 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8504.9011""",8504.9011 8504.23218504.2329 0,0,0,"AP,AS,CL,PK,NZ,",0,LD,11
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"RAS ,RAU , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,1.3,KR,,,
,,,3,KR,,,
,,,3.2,JP,,,
"""8504.9019""",8504.9019  0,0,0,"AP,AS,CL,PK,NZ,",0,LD,50
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO,TW",,,
,,,2.1,KR,,,
,,,4.8,KR,,,
,,,5.1,JP,,,
"""8504.9020""",8504.9020 - 0,0,0,"AP,AS,CL,PK,NZ,",0,LD,50
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,NI,EC,RS,MV,HK,MO,",,,
,,,,TW,,,
,,,2.1,KR,,,
,,,4.8,"AS , AU R , KR R , NZ",,,
,,,5.1,JP,,,
"""8504.9090""",8504.9090 - 0,0,0,"AP,AS,CL,PK,NZ,",0,LD,30
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO,TW",,,
,,,2.1,KR,,,
,,,4.8,KR,,,
,,,5.1,JP,,,
"""85.05""",85.05,85.05,,,,,
"""-""",-,,,,,,
"""8505.1110""",8505.1110 - 7,7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , KR ,RNZ ,KH,",,,
,,,,"NI,EC,MV,HK,MO,TW",,,
,,,4.2,RS,,,
,,,4.5,JP,,,
"""8505.1190""",8505.1190 - 7,7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RKR , NZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO,TW",,,
,,,5.7,JP,,,
"""8505.1900""",8505.1900  7,7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,4.2,RKR,,,
,,,4.5,JP,,,
,,,4.6,AP,,,
"""8505.2000""",8505.2000 - 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,,"MV,HK,MO",,,
,,,2.1,KR,,,
,,,4.8,NI,,,
,,,5.2,AP,,,
,,,5.9,"AS R , KR",,,
,,,6,JP,,,
,,,6.4,"AU ,RNZ ,EC",,,
"""-,""","-,",,,,,,
"""8505.9010""",8505.9010 - 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , KR R , NZ ,KH,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,4.8,NI,,,
,,,5.1,JP,,,
"""8505.9090""",8505.9090 - 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RKR , NZ ,KH,",,,
,,,,"RS,MV,HK,MO",,,
,,,4.8,"NI,EC",,,
,,,5.1,JP,,,
,,,5.6,AP,,,
""",90.18""",",90.18",,,,,,
"""85.06""",85.06,85.06,,,,,
"""8506.1011""",8506.1011  8,8,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"HK,MO",,,
,,,4.8,NI,,,
,,,6.4,RS,,,
,,,6.9,EC,,,
,,,9,KR,,,
,,,16,"PK, AS R , AU , NZ ,MV",,,
"""8506.1012""",8506.1012  8,8,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"EC,HK,MO",,,
,,,4.8,NI,,,
,,,6.4,RS,,,
,,,9,KR,,,
,,,16,"PK, AS , AU R , NZ ,MV",,,
"""8506.1019""",8506.1019  8,8,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"EC,HK,MO",,,
,,,4.8,NI,,,
,,,6.4,RS,,,
,,,8,"AS , AU ,RNZ",,,
,,,16,"PK,MV",,,
"""8506.1090""",8506.1090 - 8,8,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"EC,HK,MO",,,
,,,4.8,NI,,,
,,,6.4,RS,,,
,,,9,KR,,,
,,,16,"PK, AS R , AU R , KR ,",,,
,,,,"RNZ ,MV",,,
"""8506.3000""",8506.3000 - 8,8,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,4.5,PK,,,
,,,4.8,"NI,RS",,,
,,,7.1,EC,,,
,,,8.4,KR,,,
,,,8.9,JP,,,
"""8506.4000""",8506.4000 - 8,8,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"KH,MV,HK,MO",,,
,,,4.5,PK,,,
,,,4.8,"NI,RS",,,
,,,5.2,AP,,,
,,,6.4,EC,,,
,,,8,"AS R , AU R , NZ",,,
"""8506.5000""",8506.5000 - 8,8,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"EC,MV,HK,MO",,,
,,,4.5,PK,,,
,,,4.8,NI,,,
,,,6.4,RS,,,
,,,11.2,"AS , AU R , NZ",,,
"""8506.6000""",8506.6000 - 8,8,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,4.5,PK,,,
,,,4.8,"NI,RS",,,
,,,6.9,EC,,,
,,,8.4,KR,,,
,,,8.9,JP,,,
"""8506.8000""",8506.8000 - 8,8,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,4.5,PK,,,
,,,4.8,"NI,RS",,,
,,,6.9,EC,,,
,,,8.4,KR,,,
,,,8.9,RJP,,,
"""8506.9010""",8506.9010 -8506.1000 8,8,0,"AS,CL,NZ,SG,PE,",0,LD,80
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO",,,
,,,4.5,PK,,,
,,,4.8,"NI,RS",,,
,,,5,"AS R , AU ,RNZ",,,
,,,5.2,AP,,,
,,,6.9,EC,,,
"""8506.9090""",8506.9090 - 8,8,0,"AS,CL,PK,NZ,SG,",0,LD,40
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,RS,MV,HK,MO",,,
,,,4.5,KR,,,
,,,4.8,NI,,,
,,,6.9,EC,,,
,,,8,"AS , AU R , KR R , NZ",,,
"""85.07""","85.07 ,,",,,,,,
"""8507.1000""","8507.1000 -, 10",10,0,"AS,CL,PK,NZ,SG,",0,LD,90
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,MV,HK,MO",,,
,,,4.5,KR,,,
,,,6,RS,,,
,,,6.5,AP,,,
,,,8,"AS , AU ,RNZ ,NI",,,
,,,8.1,RJP,,,
,,,8.8,EC,,,
"""8507.2000""",8507.2000 - 10,10,0,"AS,CL,PK,NZ,SG,",0,LD,90
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"MU,KH,EC,MV,HK,MO",,,
,,,6,"AS R , AU R , KR R , NZ ,",,,
,,,RS,,,,
,,,6.4,JP,,,
