HS_CODE,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),Unnamed: 5,General_Tariff_Rate
,,,"HK,MO",,,
,,5,AS,,,
,,7,AP,,,
,,8,"NI,RS",,,
,,8.4,PK,,,
"""8528.7232""",15,0,"CL,NZ,IS,MU,KH,HK,",0,LD,130
,,,MO,,,
,,5,AS,,,
,,8,AU,,,
,,8.4,PK,,,
,,10.5,AP,,,
,,13,RS,,,
"""8528.7239""",15,0,"CL,NZ,IS,AU,MU,KH,",0,LD,130
,,,"HK,MO",,,
,,5,AS,,,
,,8.4,PK,,,
,,10.5,AP,,,
,,13,"NI,RS",,,
,,21,KR,,,
"""8528.7291""",10,0,"CL,NZ,PE,CR,IS,AU,",0,LD,130
,,,"MU,KH,MV,HK,MO",,,
,,5,AS,,,
,,7,AP,,,
,,8,"NI,RS",,,
,,8.4,PK,,,
,,8.8,EC,,,
"""8528.7292""",15,0,"CL,NZ,IS,MU,KH,MV,",0,LD,130
,,,"HK,MO",,,
,,5,AS,,,
,,8,AU,,,
,,8.4,PK,,,
,,10.5,AP,,,
,,13,"NI,RS",,,
"""8528.7299""",15,0,"CL,NZ,CR,IS,AU,MU,",0,LD,130
,,,"KH,MV,HK,MO",,,
,,5,AS,,,
,,8.4,PK,,,
,,10.5,AP,,,
,,13,"NI,RS",,,
"""8528.7300""",7,0,"AS,CL,NZ,SG,PE,",0,LD,100
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,"MV,HK,MO",,,
,,4.2,RS,,,
,,4.8,PK,,,
,,5.6,EC,,,
,,9,KR,,,
,,9.5,RJP,,,
"""85.29""",,,,,,
"""85.28""",,,,,,
,,,,,,
"""8529.1010""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,8
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,0.9,KR,,,
"""8529.1020""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,90
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8529.1090""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , JP , KR ,KH,NI,EC,",,,
,,,"RS,MV,HK,MO",,,
,,1.2,"AU R , NZ",,,
"""8529.9010""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8529.9020""",0,0,"AP,AS,CL,NZ,SG,",0,LD,53
,,,"RCH,  IS,AU, AS R , AU R , JP ,",,,
,,,"RKR ,RNZ ,KH,RS,HK,",,,
,,,MO,,,
,,0.2,MU,,,
,,0.3,GE,,,
,,0.9,PE,,,
,,1.3,NI,,,
,,1.4,EC,,,
,,1.5,PK,,,
,,1.8,CR,,,
,,3.4,KR,,,
,,,,,,
"""8529.9041""",0,0,"AP,AS,CL,PK,NZ,",0,LD,17
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,MV,HK,MO",,,
,,1.6,RS,,,
,,5,"AS R , AU R , NZ",,,
,,5.2,KR,,,
"""8529.9042""",0,0,"AP,AS,CL,NZ,SG,",0,LD,100
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"RMU, AS R , AU ,RNZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO,",,,
,,TW,,,,
,,2,PK,,,
,,7.2,KR,,,
,,7.6,JP,,,
"""8529.9049""",0,0,"AP,AS,CL,NZ,SG,",0,LD,100
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,"MO,TW",,,
,,2,PK,,,
,,3.2,KR,,,
,,8.8,"AS ,RKR",,,
,,9,RJP,,,
,,9.6,"AU ,RNZ",,,
"""8529.9050""",0,0,"AP,AS,CL,PK,NZ,",0,LD,8
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"RMU, AS , AU R , NZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,0.9,KR,,,
,,1,JP,,,
"""8529.9060""",0,0,"AP,AS,CL,NZ,SG,",0,LD,130
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"MU,RAS ,RAU ,RNZ ,KH,",,,
,,,"NI,RS,MV,HK,MO",,,
,,3,PK,,,
,,4.5,EC,,,
,,9,KR,,,
,,9.5,JP,,,
,,,,,,
"""8529.9081""",0,0,"AP,AS,CL,NZ,SG,",0,LD,80
,,,"PE,CH,IS,AU,MU,KH,MV,",,,
,,,"HK,MO",,,
,,3,"PK,RS",,,
,,5,"AS R , AU R , NZ",,,
,,9,EC,,,
,,13,NI,,,
"""8529.9089""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8529.9090""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,57
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""85.3""",,,,,,
,,,,,,
"""86.08""",,,,,,
"""8530.1000""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,NI,,,
,,5.2,AP,,,
,,6,KR,,,
,,6.4,JP,,,
,,7.1,EC,,,
"""8530.8000""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,"KR ,NI",,,
,,5.1,JP,,,
,,6.9,EC,,,
"""8530.9000""",6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU ,RNZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,4.8,KR,,,
,,5.1,JP,,,
"""85.31,""",,,,,,
"""85.1285.30""",,,,,,
"""8531.1000""",10,0,"AS,CL,PK,NZ,SG,",0,LD,40
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"MU,KH,MV,HK,MO",,,
,,6,"AS R , AU ,RKR , NZ",,,
,,6.4,JP,,,
,,8,"NI,RS",,,
,,8.8,EC,,,
"""8531.2000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,70
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8531.8010""",10,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,4.8,PK,,,
,,5,"AS R , AU , NZ",,,
,,7.5,KR,,,
,,8,"NI,RS",,,
,,8.8,EC,,,
"""8531.8090""",0,0,"AS,CL,PK,NZ,SG,",0,LD,70
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"RMU, AS , AU ,RNZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,6,KR,,,
,,6.4,JP,,,
"""8531.9010""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8531.9090""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,70
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""85.32""",,,,,,
"""8532.1000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"AS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8532.2110""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8532.2190""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8532.2210""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8532.2290""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8532.2300""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8532.2410""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8532.2490""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8532.2510""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8532.2590""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8532.2900""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8532.3000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8532.9010""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8532.9090""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""85.33""",,,,,,
"""8533.1000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8533.2110""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8533.2190""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8533.2900""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,,,,,
"""8533.3100""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8533.3900""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8533.4000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU R , JP , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8533.9000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""85.34""",,,,,,
"""8534.0010""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,35
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8534.0090""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , JP ,RKR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""85.35""",,,,,,
,,"(,",,,,
,,2/10/1900  40000 PM,,,,
"""8535.1000""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,MV,",,,
,,,"HK,MO",,,
,,4.5,PK,,,
,,6,RS,,,
,,8,NI,,,
,,8.4,KR,,,
,,8.8,EC,,,
,,8.9,JP,,,
"""8535.2100""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"KH,EC,MV,HK,MO",,,
,,4.5,PK,,,
,,6,RS,,,
,,8,NI,,,
,,8.4,"AS R , AU R , KR R , NZ",,,
,,8.9,JP,,,
"""8535.2910""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
"""R220.0000""",,,"IS,  KR,AU,GE,MU, AS ,",,,
,,,"RAU ,RNZ ,KH,EC,MV,",,,
,,,"HK,MO",,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,RJP,,,
,,8,NI,,,
"""8535.2920""",10,0,"AS,CL,NZ,PE,CR,CH,",0,LD,50
"""0750.0000""",,,"IS,KR,AU,GE,MU, AS ,",,,
,,,"RAU ,RNZ ,KH,MV,HK,",,,
,,,MO,,,
,,2,PK,,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""8535.2990""",10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,6,RS,,,
,,8,"AS ,RAU , KR ,RNZ ,",,,
,,NI,,,,
,,9,EC,,,
"""8535.3010""",10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
"""0220.0000""",,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,MV,",,,
,,,"HK,MO",,,
,,6,"KR ,EC,RS",,,
,,6.4,JP,,,
,,8,"AP,NI",,,
"""8535.3020""",10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
"""0750.0000""",,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,MV,",,,
,,,"HK,MO",,,
,,6,"KR ,RS",,,
,,6.4,JP,,,
,,8,NI,,,
,,9,EC,,,
"""8535.3090""",10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,MV,",,,
,,,"HK,MO",,,
,,6,"KR ,RS",,,
,,6.4,RJP,,,
,,8,NI,,,
,,8.8,EC,,,
"""8535.4000""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU , NZ ,KH,MV,",,,
,,,"HK,MO",,,
,,8,"NI,RS",,,
,,8.7,EC,,,
,,10.8,KR,,,
,,11.5,RJP,,,
,,14.4,PK,,,
"""8535.9000""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,4.5,KR,,,
,,6,RS,,,
,,6.5,AP,,,
,,8,"AS ,RAU , NZ ,NI",,,
,,8.1,JP,,,
,,8.8,EC,,,
"""85.36""",,,,,,
,,,,,,
"""1000""",,,,,,
"""8536.1000""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,6,EC,,,
,,8,"AS R , AU R , NZ ,NI",,,
,,8.7,RS,,,
"""8536.2000""",9,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU , KR R , NZ ,KH,",,,
,,,"MV,HK,MO",,,
,,5.4,RS,,,
,,5.7,JP,,,
,,7.2,NI,,,
,,7.8,EC,,,
"""8536.3000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"RCH,IS,AU,GE,MU, AS ,",,,
,,,"RAU ,RNZ ,KH,NI,EC,RS,",,,
,,,"MV,HK,MO",,,
,,2.4,KR,,,
,,5.4,KR,,,
,,5.7,JP,,,
"""1/2/1900""",,,,,,
"""8536.4110""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,2.6,KR,,,
,,7.3,"RAS , KR",,,
,,7.5,RJP,,,
,,8,"RAU ,RNZ ,NI,RS",,,
,,8.8,EC,,,
"""8536.4190""",10,0,"AS,CL,PK,NZ,SG,",0,LD,50
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,MV,HK,MO",,,
,,4.5,KR,,,
,,5,"AS ,RAU ,RNZ",,,
,,6,RS,,,
,,8,NI,,,
,,8.8,EC,,,
"""8536.4900""",10,0,"AS,CL,NZ,SG,PE,",0,LD,50
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"MV,HK,MO",,,
,,2,PK,,,
,,2.6,KR,,,
,,6,RS,,,
,,7.3,"RAS , KR",,,
,,7.5,JP,,,
,,8,"AU R , NZ ,NI",,,
,,8.8,EC,,,
"""8536.5000""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR ,RNZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,,,,,
"""8536.6100""",10,0,"AS,CL,PK,NZ,SG,",0,LD,50
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,MV,HK,MO",,,
,,2.6,KR,,,
,,6,RS,,,
,,7.3,"AS R , KR",,,
,,7.5,JP,,,
,,8,"AU ,RNZ ,NI",,,
,,8.8,EC,,,
"""8536.6900""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8536.7000""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,"NI,EC",,,
,,5,"AS R , AU R , NZ",,,
"""8536.9011""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8536.9019""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8536.9090""",0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS ,RAU , JP ,RKR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""85.37""",,,,,,
,,,,,,
"""85.3585.36""",,,,,,
,,,,,,
,,,,,,
"""85.17""",,,,,,
"""-1000""",,,,,,
"""8537.1011""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2.5,"AP,KR",,,
,,4,"AS R , AU , NZ",,,
"""8537.1019""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,14
,,,"IS,AU,GE,MU,KH,NI,EC,",,,
,,,"RS,MV,HK,MO,TW",,,
,,2,CH,,,
,,2.5,"AP,KR",,,
,,4.5,"RAS ,RAU , NZ",,,
"""CNC)""",,,,,,
"""8537.1090""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,MO,,,
,,2.2,KR,,,
,,3.4,CH,,,
,,4,AP,,,
,,4.8,"NI,EC,RS",,,
,,6.2,"AS R , KR",,,
,,6.3,JP,,,
,,6.7,"AU , NZ",,,
"""-1000""",,,,,,
"""8537.2010""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
"""0500.0000""",,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,"MV,HK,MO",,,
,,2.2,KR,,,
,,4,AP,,,
,,4.8,NI,,,
,,5,"AS R , AU R , KR R , NZ",,,
,,6.3,JP,,,
,,6.9,EC,,,
"""8537.2090""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,50
,,,"CH,IS,AU,GE,MU,KH,EC,",,,
,,,"RS,MV,HK,MO",,,
,,2.2,KR,,,
,,4,AP,,,
,,4.8,NI,,,
,,6.2,"AS R , KR",,,
,,6.3,JP,,,
,,6.7,"AU R , NZ",,,
"""85.38""",,,,,,
"""85.3685.37""",,,,,,
"""-85.37""",,,,,,
,,,,,,
"""8538.1010""",0,0,"AP,AS,CL,PK,NZ,",0,LD,50
,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,"MU,RAS ,RAU ,RNZ ,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,5,KR,,,
,,5.3,JP,,,
"""8538.1090""",0,0,"AP,AS,CL,PK,NZ,",0,LD,50
,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,"KH,NI,EC,RS,MV,HK,MO",,,
,,3.5,KR,,,
,,4.2,"RAS ,RAU ,RNZ",,,
,,4.5,RJP,,,
,,5.6,KR,,,
"""8538.9000""",7,0,"AS,CL,NZ,PE,CR,IS,",0,LD,50
,,,"RKR,AU,GE,MU, AS ,",,,
,,,"RAU ,RKR R , NZ ,KH,NI,",,,
,,,"EC,RS,HK,MO",,,
,,1.4,CH,,,
,,4,PK,,,
,,4.5,JP,,,
"""85.39""",,,,,,
,,,,,,
"""8539.1000""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,45
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS , AU R , NZ ,KH,EC,",,,
,,,"RS,MV,HK,MO",,,
,,4.8,NI,,,
,,6,KR,,,
,,6.4,JP,,,
,,,,,,
"""8539.2110""",8,0,"AS,CL,NZ,PE,CR,CH,",0,LD,20
,,,"IS,KR,AU,GE,MU,RAS ,",,,
,,,"RAU , KR R , NZ ,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4,PK,,,
,,4.8,NI,,,
,,5.1,JP,,,
,,6.4,EC,,,
"""8539.2120""",8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU ,RNZ ,KH,RS,",,,
,,,"MV,HK,MO",,,
,,4.8,"KR ,NI",,,
,,5.1,JP,,,
,,6.4,EC,,,
"""8539.2130""",8,0,"AS,CL,NZ,PE,CR,CH,",0,LD,45
,,,"IS,AU,GE,MU,KH,RS,MV,",,,
,,,"HK,MO",,,
,,2,PK,,,
,,4.5,KR,,,
,,4.8,NI,,,
,,6.9,EC,,,
,,8,"RAS R , AU ,RNZ",,,
"""8539.2190""",6,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,6.3,KR,,,
,,6.7,JP,,,
,,8.4,PK,,,
,,,,,,
"""4.166666667""",,,,,,
"""8539.2210""",5,0,"AS,CL,NZ,SG,PE,",0,LD,20
,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,"NI,EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,5,"AS R , AU R , NZ",,,
"""8539.2290""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,70
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP ,RKR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
"""8539.2910""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,"CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,"KH,NI,EC,RS,MV,HK,",,,
,,,MO,,,
,,4,AP,,,
"""8539.2920""",5,0,"AS,CL,NZ,SG,PE,",0,LD,20
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,2,PK,,,
,,6.3,KR,,,
,,6.7,JP,,,
"""8539.2930""",5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,45
,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,"EC,RS,MV,HK,MO",,,
,,1.3,KR,,,
,,3,"AS R , AU R , KR R , NZ",,,
,,3.8,JP,,,
"""8539.2991""",6,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,"CR,CH,IS,KR,AU,GE,MU,",,,
